"esn","name","total_secs","after_loss","dif","total_percent","bridge_loss","bridge_loss_count","bridge_percent","camera_loss","camera_loss_count","camera_percent","switch_loss","switch_loss_count","switch_percent","month","day"
"100354fd","JFK2 - 30561","6048000","6043830","4170","99.9300%","0","0","0.0000%","1297","3","31.1000%","2873","3","68.9000%","11","3"
"100736ee","SEA2 - 31242","2764800","2760230","4570","99.8300%","0","0","0.0000%","4570","6","100.0000%","0","0","0.0000%","11","3"
"1000e712","DEN - EEN-BR820-30333","3024000","3019687","4313","99.8600%","0","0","0.0000%","4313","5","100.0000%","0","0","0.0000%","11","3"
"100317d3","SFO1 - 34022","3888000","3882959","5041","99.8700%","0","0","0.0000%","1504","3","29.8400%","3537","2","70.1600%","11","3"
"10105ff7","MIA1 - 31492","7689600","7687055","2545","99.9700%","0","0","0.0000%","1840","42","72.3000%","705","8","27.7000%","11","3"
"1004c0ff","ORD7 - 30832","2505600","2499433","6167","99.7500%","1845","1","29.9200%","4322","4","70.0800%","0","0","0.0000%","11","3"
"100112ce","ATL1 - 31335","6739200","6737895","1305","99.9800%","0","0","0.0000%","1305","4","100.0000%","0","0","0.0000%","11","3"
"10090323","IAH1 - 30554","3628800","3618535","10265","99.7200%","0","0","0.0000%","2199","3","21.4200%","8066","3","78.5800%","11","3"
"10035cb5","IAH3 - 30178","3369600","3368603","997","99.9700%","0","0","0.0000%","997","3","100.0000%","0","0","0.0000%","11","3"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","11","3"
"100eed3d","ORD2 - 30567","4838400","4837464","936","99.9800%","0","0","0.0000%","936","4","100.0000%","0","0","0.0000%","11","3"
"10083044","ORD5 - 30834","5011200","4996569","14631","99.7100%","1395","2","9.5300%","9915","13","67.7700%","3321","2","22.7000%","11","3"
"10109078","DTW - 30560","2851200","2848600","2600","99.9100%","0","0","0.0000%","2600","8","100.0000%","0","0","0.0000%","11","3"
"10007c0c","ORD1 - 31387","3283200","3279501","3699","99.8900%","0","0","0.0000%","3699","5","100.0000%","0","0","0.0000%","11","3"
"100d7b9b","SEA1 - 31232","4406400","4393569","12831","99.7100%","0","0","0.0000%","7112","6","55.4300%","5719","4","44.5700%","11","3"
"1000fede","ORD3 - 30566","6048000","6040969","7031","99.8800%","0","0","0.0000%","7031","8","100.0000%","0","0","0.0000%","11","3"
"100b317d","ATL2 - 30564","6134400","6117858","16542","99.7300%","0","0","0.0000%","2063","17","12.4700%","14479","4","87.5300%","11","3"
"100d1583","IAD - 30153","3456000","3454331","1669","99.9500%","0","0","0.0000%","0","0","0.0000%","1669","1","100.0000%","11","3"
"10093b39","PHL - 31493","5529600","5517899","11701","99.7900%","0","0","0.0000%","9076","9","77.5700%","2625","2","22.4300%","11","3"
"100248df","ORD4 - 30191","6048000","6037634","10366","99.8300%","0","0","0.0000%","6409","6","61.8300%","3957","1","38.1700%","11","3"
"1001eb37","BOS2 - 31336","2592000","2591550","450","99.9800%","0","0","0.0000%","450","2","100.0000%","0","0","0.0000%","11","3"
"10077d26","SJU1 - 31559","5702400","5697223","5177","99.9100%","0","0","0.0000%","5177","5","100.0000%","0","0","0.0000%","11","3"
"10033c8f","IAH2 - 30556","2937600","2926859","10741","99.6300%","0","0","0.0000%","5490","6","51.1100%","5251","2","48.8900%","11","3"
"1008252d","RDU - 30177","2332800","2332496","304","99.9900%","0","0","0.0000%","304","2","100.0000%","0","0","0.0000%","11","3"
"1007809a","LAX2 - 30668","6134400","6126946","7454","99.8800%","0","0","0.0000%","1864","2","25.0100%","5590","3","74.9900%","11","3"
"10061de1","MIA2 - 31246","5961600","5960237","1363","99.9800%","0","0","0.0000%","0","0","0.0000%","1363","1","100.0000%","11","3"
"100c3985","JFK1 - 30557","5184000","5158262","25738","99.5000%","9265","2","36.0000%","16247","12","63.1200%","226","1","0.8800%","11","3"
"1009004c","CVG - 32885","3196800","3193966","2834","99.9100%","1245","1","43.9300%","1589","1","56.0700%","0","0","0.0000%","11","3"
"1009e6c6","LAX1 - 30331","5616000","5608893","7107","99.8700%","0","0","0.0000%","6208","11","87.3500%","899","1","12.6500%","11","3"
"1002ea86","ORD6 - 30833","2678400","2676182","2218","99.9200%","0","0","0.0000%","2218","2","100.0000%","0","0","0.0000%","11","3"
"1004bbe9","SFO2 - 30555","5875200","5874861","339","99.9900%","0","0","0.0000%","339","2","100.0000%","0","0","0.0000%","11","3"
"1001f8a7","PDX - 32813","4665600","4664717","883","99.9800%","0","0","0.0000%","883","1","100.0000%","0","0","0.0000%","11","3"
"10012346","DFW2 - 29295","3801600","3795226","6374","99.8300%","0","0","0.0000%","3559","7","55.8400%","2815","3","44.1600%","11","3"
"100a54e9","DFW1 - 29290","3974400","3964824","9576","99.7600%","0","0","0.0000%","5808","9","60.6500%","3768","2","39.3500%","11","3"
"100354fd","JFK2 - 30561","6048000","6038807","9193","99.8500%","4178","2","45.4500%","612","2","6.6600%","4403","4","47.9000%","11","2"
"100736ee","SEA2 - 31242","2764800","2764220","580","99.9800%","0","0","0.0000%","580","3","100.0000%","0","0","0.0000%","11","2"
"1000e712","DEN - EEN-BR820-30333","3024000","3023743","257","99.9900%","0","0","0.0000%","257","2","100.0000%","0","0","0.0000%","11","2"
"100317d3","SFO1 - 34022","3888000","3887466","534","99.9900%","0","0","0.0000%","534","6","100.0000%","0","0","0.0000%","11","2"
"10105ff7","MIA1 - 31492","7689600","7682742","6858","99.9100%","0","0","0.0000%","3301","138","48.1300%","3557","103","51.8700%","11","2"
"1004c0ff","ORD7 - 30832","2505600","2486333","19267","99.2300%","0","0","0.0000%","817","7","4.2400%","18450","8","95.7600%","11","2"
"100112ce","ATL1 - 31335","6739200","6730595","8605","99.8700%","0","0","0.0000%","1818","6","21.1300%","6787","5","78.8700%","11","2"
"10090323","IAH1 - 30554","3628800","3624618","4182","99.8800%","0","0","0.0000%","1183","6","28.2900%","2999","1","71.7100%","11","2"
"10035cb5","IAH3 - 30178","3369600","3369350","250","99.9900%","0","0","0.0000%","250","2","100.0000%","0","0","0.0000%","11","2"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","11","2"
"100eed3d","ORD2 - 30567","4838400","4833599","4801","99.9000%","0","0","0.0000%","4566","10","95.1100%","235","1","4.8900%","11","2"
"10083044","ORD5 - 30834","5011200","5005882","5318","99.8900%","2003","3","37.6600%","650","4","12.2200%","2665","2","50.1100%","11","2"
"10109078","DTW - 30560","2851200","2847383","3817","99.8700%","0","0","0.0000%","1618","8","42.3900%","2199","2","57.6100%","11","2"
"10007c0c","ORD1 - 31387","3283200","3280803","2397","99.9300%","0","0","0.0000%","1245","3","51.9400%","1152","1","48.0600%","11","2"
"100d7b9b","SEA1 - 31232","4406400","4397894","8506","99.8100%","3748","1","44.0600%","4758","9","55.9400%","0","0","0.0000%","11","2"
"1000fede","ORD3 - 30566","6048000","5173679","874321","85.5400%","872253","3","99.7600%","1808","7","0.2100%","260","1","0.0300%","11","2"
"100b317d","ATL2 - 30564","6134400","6118218","16182","99.7400%","0","0","0.0000%","4954","7","30.6100%","11228","4","69.3900%","11","2"
"100d1583","IAD - 30153","3456000","3455519","481","99.9900%","0","0","0.0000%","481","1","100.0000%","0","0","0.0000%","11","2"
"10093b39","PHL - 31493","5529600","5518994","10606","99.8100%","0","0","0.0000%","10346","13","97.5500%","260","1","2.4500%","11","2"
"100248df","ORD4 - 30191","6048000","6047159","841","99.9900%","0","0","0.0000%","841","3","100.0000%","0","0","0.0000%","11","2"
"1001eb37","BOS2 - 31336","2592000","2591203","797","99.9700%","0","0","0.0000%","352","2","44.1700%","445","2","55.8300%","11","2"
"10077d26","SJU1 - 31559","5702400","5692634","9766","99.8300%","9755","2","99.8900%","11","1","0.1100%","0","0","0.0000%","11","2"
"10033c8f","IAH2 - 30556","2937600","2937477","123","100.0000%","0","0","0.0000%","123","1","100.0000%","0","0","0.0000%","11","2"
"1008252d","RDU - 30177","2332800","2331090","1710","99.9300%","0","0","0.0000%","1710","4","100.0000%","0","0","0.0000%","11","2"
"1007809a","LAX2 - 30668","6134400","6131562","2838","99.9500%","0","0","0.0000%","1003","6","35.3400%","1835","2","64.6600%","11","2"
"10061de1","MIA2 - 31246","5961600","5952654","8946","99.8500%","5372","1","60.0500%","1238","4","13.8400%","2336","2","26.1100%","11","2"
"100c3985","JFK1 - 30557","5184000","5149378","34622","99.3300%","8844","2","25.5400%","25778","9","74.4600%","0","0","0.0000%","11","2"
"1009004c","CVG - 32885","3196800","3195313","1487","99.9500%","0","0","0.0000%","1487","4","100.0000%","0","0","0.0000%","11","2"
"1009e6c6","LAX1 - 30331","5616000","5611261","4739","99.9200%","0","0","0.0000%","4739","17","100.0000%","0","0","0.0000%","11","2"
"1002ea86","ORD6 - 30833","2678400","2676586","1814","99.9300%","0","0","0.0000%","1814","3","100.0000%","0","0","0.0000%","11","2"
"1004bbe9","SFO2 - 30555","5875200","5852186","23014","99.6100%","11902","2","51.7200%","7398","6","32.1500%","3714","1","16.1400%","11","2"
"1001f8a7","PDX - 32813","4665600","4658726","6874","99.8500%","0","0","0.0000%","6874","5","100.0000%","0","0","0.0000%","11","2"
"10012346","DFW2 - 29295","3801600","3793915","7685","99.8000%","0","0","0.0000%","5214","14","67.8500%","2471","3","32.1500%","11","2"
"100a54e9","DFW1 - 29290","3974400","3962064","12336","99.6900%","0","0","0.0000%","3580","5","29.0200%","8756","6","70.9800%","11","2"
"100354fd","JFK2 - 30561","6048000","6048000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","11","1"
"100736ee","SEA2 - 31242","2764800","2760417","4383","99.8400%","0","0","0.0000%","4383","6","100.0000%","0","0","0.0000%","11","1"
"1000e712","DEN - EEN-BR820-30333","3024000","3022499","1501","99.9500%","0","0","0.0000%","1501","2","100.0000%","0","0","0.0000%","11","1"
"100317d3","SFO1 - 34022","3888000","3886297","1703","99.9600%","0","0","0.0000%","28","2","1.6400%","1675","1","98.3600%","11","1"
"10105ff7","MIA1 - 31492","7689600","7683625","5975","99.9200%","0","0","0.0000%","2838","117","47.5000%","3137","54","52.5000%","11","1"
"1004c0ff","ORD7 - 30832","2505600","2500669","4931","99.8000%","1791","1","36.3200%","694","2","14.0700%","2446","1","49.6000%","11","1"
"100112ce","ATL1 - 31335","6739200","6733497","5703","99.9200%","0","0","0.0000%","1061","6","18.6000%","4642","1","81.4000%","11","1"
"10090323","IAH1 - 30554","3628800","3626730","2070","99.9400%","0","0","0.0000%","2070","2","100.0000%","0","0","0.0000%","11","1"
"10035cb5","IAH3 - 30178","3369600","3357754","11846","99.6500%","0","0","0.0000%","2241","3","18.9200%","9605","2","81.0800%","11","1"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","11","1"
"100eed3d","ORD2 - 30567","4838400","4833184","5216","99.8900%","0","0","0.0000%","5216","9","100.0000%","0","0","0.0000%","11","1"
"10083044","ORD5 - 30834","5011200","4999112","12088","99.7600%","1299","2","10.7500%","4469","5","36.9700%","6320","4","52.2800%","11","1"
"10109078","DTW - 30560","2851200","2845161","6039","99.7900%","0","0","0.0000%","6039","10","100.0000%","0","0","0.0000%","11","1"
"10007c0c","ORD1 - 31387","3283200","3280763","2437","99.9300%","0","0","0.0000%","2437","2","100.0000%","0","0","0.0000%","11","1"
"100d7b9b","SEA1 - 31232","4406400","4398245","8155","99.8100%","3831","1","46.9800%","1524","2","18.6900%","2800","1","34.3300%","11","1"
"1000fede","ORD3 - 30566","6048000","6036712","11288","99.8100%","6424","2","56.9100%","4864","5","43.0900%","0","0","0.0000%","11","1"
"100b317d","ATL2 - 30564","6134400","6121263","13137","99.7900%","0","0","0.0000%","5619","5","42.7700%","7518","5","57.2300%","11","1"
"100d1583","IAD - 30153","3456000","3453162","2838","99.9200%","0","0","0.0000%","2838","4","100.0000%","0","0","0.0000%","11","1"
"10093b39","PHL - 31493","5529600","5139072","390528","92.9400%","0","0","0.0000%","6029","12","1.5400%","384499","2","98.4600%","11","1"
"100248df","ORD4 - 30191","6048000","6038003","9997","99.8300%","3639","1","36.4000%","6358","5","63.6000%","0","0","0.0000%","11","1"
"1001eb37","BOS2 - 31336","2592000","2590497","1503","99.9400%","0","0","0.0000%","1503","2","100.0000%","0","0","0.0000%","11","1"
"10077d26","SJU1 - 31559","5702400","5702400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","11","1"
"10033c8f","IAH2 - 30556","2937600","2934982","2618","99.9100%","0","0","0.0000%","1306","2","49.8900%","1312","1","50.1100%","11","1"
"1008252d","RDU - 30177","2332800","2331202","1598","99.9300%","0","0","0.0000%","1598","2","100.0000%","0","0","0.0000%","11","1"
"1007809a","LAX2 - 30668","6134400","6128944","5456","99.9100%","0","0","0.0000%","2722","2","49.8900%","2734","2","50.1100%","11","1"
"10061de1","MIA2 - 31246","5961600","5941691","19909","99.6700%","11089","2","55.7000%","5709","5","28.6800%","3111","3","15.6300%","11","1"
"100c3985","JFK1 - 30557","5184000","5160840","23160","99.5500%","4430","1","19.1300%","5399","7","23.3100%","13331","3","57.5600%","11","1"
"1009004c","CVG - 32885","3196800","3196128","672","99.9800%","0","0","0.0000%","672","3","100.0000%","0","0","0.0000%","11","1"
"1009e6c6","LAX1 - 30331","5616000","5606995","9005","99.8400%","699","1","7.7600%","5501","15","61.0900%","2805","1","31.1500%","11","1"
"1002ea86","ORD6 - 30833","2678400","2678400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","11","1"
"1004bbe9","SFO2 - 30555","5875200","5869389","5811","99.9000%","0","0","0.0000%","1918","3","33.0100%","3893","1","66.9900%","11","1"
"1001f8a7","PDX - 32813","4665600","4665600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","11","1"
"10012346","DFW2 - 29295","3801600","3794981","6619","99.8300%","1311","1","19.8100%","4930","6","74.4800%","378","1","5.7100%","11","1"
"100a54e9","DFW1 - 29290","3974400","3971553","2847","99.9300%","0","0","0.0000%","2847","2","100.0000%","0","0","0.0000%","11","1"
"100354fd","JFK2 - 30561","6048000","6041637","6363","99.8900%","4265","2","67.0300%","187","3","2.9400%","1911","2","30.0300%","10","31"
"100736ee","SEA2 - 31242","2764800","2764251","549","99.9800%","0","0","0.0000%","549","3","100.0000%","0","0","0.0000%","10","31"
"1000e712","DEN - EEN-BR820-30333","3024000","3023588","412","99.9900%","0","0","0.0000%","412","1","100.0000%","0","0","0.0000%","10","31"
"100317d3","SFO1 - 34022","3888000","3887517","483","99.9900%","0","0","0.0000%","483","4","100.0000%","0","0","0.0000%","10","31"
"10105ff7","MIA1 - 31492","7689600","7684720","4880","99.9400%","0","0","0.0000%","1794","102","36.7600%","3086","51","63.2400%","10","31"
"1004c0ff","ORD7 - 30832","2505600","2505399","201","99.9900%","0","0","0.0000%","168","2","83.5800%","33","1","16.4200%","10","31"
"100112ce","ATL1 - 31335","6739200","6737427","1773","99.9700%","0","0","0.0000%","1694","3","95.5400%","79","1","4.4600%","10","31"
"10090323","IAH1 - 30554","3628800","3628537","263","99.9900%","0","0","0.0000%","263","2","100.0000%","0","0","0.0000%","10","31"
"10035cb5","IAH3 - 30178","3369600","3369549","51","100.0000%","0","0","0.0000%","51","4","100.0000%","0","0","0.0000%","10","31"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","31"
"100eed3d","ORD2 - 30567","4838400","4837438","962","99.9800%","0","0","0.0000%","962","5","100.0000%","0","0","0.0000%","10","31"
"10083044","ORD5 - 30834","5011200","5006537","4663","99.9100%","0","0","0.0000%","227","2","4.8700%","4436","5","95.1300%","10","31"
"10109078","DTW - 30560","2851200","2847303","3897","99.8600%","2693","1","69.1000%","1204","5","30.9000%","0","0","0.0000%","10","31"
"10007c0c","ORD1 - 31387","3283200","3279114","4086","99.8800%","2414","1","59.0800%","0","0","0.0000%","1672","1","40.9200%","10","31"
"100d7b9b","SEA1 - 31232","4406400","4405589","811","99.9800%","0","0","0.0000%","547","2","67.4500%","264","1","32.5500%","10","31"
"1000fede","ORD3 - 30566","6048000","6047834","166","100.0000%","0","0","0.0000%","166","2","100.0000%","0","0","0.0000%","10","31"
"100b317d","ATL2 - 30564","6134400","6132960","1440","99.9800%","0","0","0.0000%","481","5","33.4000%","959","2","66.6000%","10","31"
"100d1583","IAD - 30153","3456000","3454412","1588","99.9500%","0","0","0.0000%","0","0","0.0000%","1588","1","100.0000%","10","31"
"10093b39","PHL - 31493","5529600","5522080","7520","99.8600%","5765","1","76.6600%","1684","10","22.3900%","71","2","0.9400%","10","31"
"100248df","ORD4 - 30191","6048000","6047957","43","100.0000%","0","0","0.0000%","43","1","100.0000%","0","0","0.0000%","10","31"
"1001eb37","BOS2 - 31336","2592000","2587928","4072","99.8400%","0","0","0.0000%","246","1","6.0400%","3826","2","93.9600%","10","31"
"10077d26","SJU1 - 31559","5702400","5702246","154","100.0000%","0","0","0.0000%","0","0","0.0000%","154","1","100.0000%","10","31"
"10033c8f","IAH2 - 30556","2937600","2935652","1948","99.9300%","0","0","0.0000%","1948","1","100.0000%","0","0","0.0000%","10","31"
"1008252d","RDU - 30177","2332800","2332373","427","99.9800%","0","0","0.0000%","427","3","100.0000%","0","0","0.0000%","10","31"
"1007809a","LAX2 - 30668","6134400","6122961","11439","99.8100%","0","0","0.0000%","39","1","0.3400%","11400","4","99.6600%","10","31"
"10061de1","MIA2 - 31246","5961600","5949269","12331","99.7900%","11906","2","96.5500%","13","1","0.1100%","412","1","3.3400%","10","31"
"100c3985","JFK1 - 30557","5184000","5183870","130","100.0000%","0","0","0.0000%","0","0","0.0000%","130","1","100.0000%","10","31"
"1009004c","CVG - 32885","3196800","3195830","970","99.9700%","0","0","0.0000%","970","4","100.0000%","0","0","0.0000%","10","31"
"1009e6c6","LAX1 - 30331","5616000","5604341","11659","99.7900%","10741","2","92.1300%","918","6","7.8700%","0","0","0.0000%","10","31"
"1002ea86","ORD6 - 30833","2678400","2678270","130","100.0000%","0","0","0.0000%","130","1","100.0000%","0","0","0.0000%","10","31"
"1004bbe9","SFO2 - 30555","5875200","5863403","11797","99.8000%","11195","2","94.9000%","602","2","5.1000%","0","0","0.0000%","10","31"
"1001f8a7","PDX - 32813","4665600","4665399","201","100.0000%","0","0","0.0000%","201","1","100.0000%","0","0","0.0000%","10","31"
"10012346","DFW2 - 29295","3801600","3799847","1753","99.9500%","0","0","0.0000%","1753","5","100.0000%","0","0","0.0000%","10","31"
"100a54e9","DFW1 - 29290","3974400","3974400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","31"
"100354fd","JFK2 - 30561","6048000","6045336","2664","99.9600%","2069","1","77.6700%","113","1","4.2400%","482","1","18.0900%","10","30"
"100736ee","SEA2 - 31242","2764800","2763948","852","99.9700%","0","0","0.0000%","852","4","100.0000%","0","0","0.0000%","10","30"
"1000e712","DEN - EEN-BR820-30333","3024000","3023983","17","100.0000%","0","0","0.0000%","17","1","100.0000%","0","0","0.0000%","10","30"
"100317d3","SFO1 - 34022","3888000","3883348","4652","99.8800%","0","0","0.0000%","2865","1","61.5900%","1787","1","38.4100%","10","30"
"10105ff7","MIA1 - 31492","7689600","7686240","3360","99.9600%","0","0","0.0000%","1434","90","42.6800%","1926","54","57.3200%","10","30"
"1004c0ff","ORD7 - 30832","2505600","2504599","1001","99.9600%","0","0","0.0000%","0","0","0.0000%","1001","1","100.0000%","10","30"
